id,name,author,style,time,score,comment,image
99,离开地球表面Jump!,五月天,流行,2007-07-20,8.7,31628,https://img3.doubanio.com/view/subject/m/public/s27078194.jpg
100,不想放手,陈奕迅,流行,2008-06-30,8.3,31664,https://img3.doubanio.com/view/subject/m/public/s3146476.jpg
101,我的歌声里,曲婉婷,流行,2010-02-24,9.2,30584,https://img3.doubanio.com/view/subject/m/public/s9127241.jpg
102,The Legend of 1900,Ennio Morricone,,1999-10-12,9.4,29353,https://img3.doubanio.com/view/subject/m/public/s1426141.jpg
103,孤独的人是可耻的,张楚,摇滚,1994,9.1,30709,https://img3.doubanio.com/view/subject/m/public/s3266121.jpg
104,徐佳瑩La La首张创作专辑,徐佳莹,流行,2009-05-29,8.2,31617,https://img3.doubanio.com/view/subject/m/public/s3819180.jpg
105,The Best Damn Thing,Avril Lavigne,流行,2007-04-17,7.7,33014,https://img3.doubanio.com/view/subject/m/public/s2362973.jpg
106,知足 just my pride 最真杰作选,五月天,摇滚,2005-11-18,9.1,29135,https://img3.doubanio.com/view/subject/m/public/s1443616.jpg
107,1,The Beatles,摇滚,2000,9.4,27913,https://img3.doubanio.com/view/subject/m/public/s1400070.jpg
108,魔杰座,周杰伦,流行,2008-10-09,6.9,39257,https://img3.doubanio.com/view/subject/m/public/s3292023.jpg
109,X&Y,Coldplay,摇滚,2005-06-07,8.4,30553,https://img3.doubanio.com/view/subject/m/public/s1400630.jpg
110,19,Adele,放克/灵歌/R&amp;B,2008-01-28,8.3,30472,https://img3.doubanio.com/view/subject/m/public/s2841982.jpg
111,我们在炎热与抑郁的夏天，无法停止抽烟,My Little Airport,流行,2007-10-10,8.1,30519,https://img3.doubanio.com/view/subject/m/public/s2722802.jpg
112,时光机,五月天,摇滚,2003-11-11,9.0,29042,https://img3.doubanio.com/view/subject/m/public/s4718016.jpg
113,Yan Zi,孙燕姿,流行,2000-06-08,9.0,28466,https://img3.doubanio.com/view/subject/m/public/s4067651.jpg
114,Time Flies,陈奕迅,流行,2010-03-12,8.7,28736,https://img3.doubanio.com/view/subject/m/public/s4217513.jpg
115,失败者的飞翔,陈绮贞,流行,2008-07-13,8.6,28111,https://img1.doubanio.com/view/subject/m/public/s3164468.jpg
116,My Love,田馥甄,流行,2011-09-02,8.0,30602,https://img3.doubanio.com/view/subject/m/public/s6884320.jpg
117,亲亲,梁静茹,流行,2006-10-06,8.1,29644,https://img1.doubanio.com/view/subject/m/public/s1876827.jpg
118,你王菲所以我王菲,王菲,流行,2002,9.4,28207,https://img1.doubanio.com/view/subject/m/public/s2951748.jpg
119,Stranger Under My Skin,陈奕迅,流行,2011-02-22,8.6,28145,https://img3.doubanio.com/view/subject/m/public/s4644120.jpg
120,Come Away with Me,Norah Jones,爵士,2002,8.8,27519,https://img1.doubanio.com/view/subject/m/public/s4714568.jpg
121,平凡之路,朴树,,2014-07-16,8.9,36344,https://img1.doubanio.com/view/subject/m/public/s27326029.jpg
122,认了吧,陈奕迅,流行,2007-04-24,8.7,29123,https://img1.doubanio.com/view/subject/m/public/s3947069.jpg
123,21st Century Breakdown,Green Day,摇滚,2009-05-15,8.5,27582,https://img3.doubanio.com/view/subject/m/public/s3727625.jpg
124,神的游戏,張懸,流行,2012-08-10,8.7,29171,https://img1.doubanio.com/view/subject/m/public/s11174008.jpg
125,唱游,王菲,流行,1998,9.2,28640,https://img3.doubanio.com/view/subject/m/public/s2749634.jpg
126,花的姿态：演唱会经典实录,陈绮贞,,2007-05-18,9.2,25261,https://img1.doubanio.com/view/subject/m/public/s2377978.jpg
127,我去2000年,朴树,流行,1999-1,9.1,28696,https://img1.doubanio.com/view/subject/m/public/s27208919.jpg
128,Young For You,GALA,摇滚,2004,8.7,27133,https://img1.doubanio.com/view/subject/m/public/s1629838.jpg
129,自选集,孙燕姿,流行,2002年1月,8.9,26155,https://img1.doubanio.com/view/subject/m/public/s3151869.jpg
130,理性与感性 作品音乐会,李宗盛 Jonathan,流行,2007-09-28,9.5,25606,https://img3.doubanio.com/view/subject/m/public/s2891182.jpg
131,比天空还远,曹方,流行,2007-11-20,8.5,26463,https://img3.doubanio.com/view/subject/m/public/s2755385.jpg
132,黑梦,窦唯,摇滚,1994-10,9.2,28368,https://img3.doubanio.com/view/subject/m/public/s3081692.jpg
133,介乎法國與旺角的詩意,My Little Airport,流行,2009-11-20,8.1,28877,https://img3.doubanio.com/view/subject/m/public/s4057285.jpg
134,不能说的秘密,周杰倫,,2007-08-13,8.7,30449,https://img1.doubanio.com/view/subject/m/public/s2652097.jpg
135,丝路,梁静茹 Fish,流行,2005-9-16,8.2,27418,https://img3.doubanio.com/view/subject/m/public/s1966952.jpg
136,All The Lost Souls,James Blunt,流行,2007-09-18,8.5,25553,https://img3.doubanio.com/view/subject/m/public/s2609413.jpg
137,F.I.R.,F.I.R.,流行,2004-04-29,8.6,28802,https://img3.doubanio.com/view/subject/m/public/s4124010.jpg
138,上五楼的快活,陈奕迅,流行,2009-09-23,7.7,27643,https://img3.doubanio.com/view/subject/m/public/s3969572.jpg
139,Minutes to Midnight,Linkin Park,摇滚,2007-05-15,8.2,25898,https://img3.doubanio.com/view/subject/m/public/s2665031.jpg
140,GOODBYE & HELLO,蔡健雅,流行,2007-10-19,8.6,25375,https://img1.doubanio.com/view/subject/m/public/s27067658.jpg
141,Someone Like You,Adele,放克/灵歌/R&amp;B,2011-01-24,9.5,26843,https://img3.doubanio.com/view/subject/m/public/s4689205.jpg
